YEAR,UNIQUE_PROVIDERS,PROVIDER_TYPE_CD,PROVIDER_TYPE_DESC,SITE_OF_SERVICE,PAYER,RESOURCE_UTILIZATION_BAND,RUCA_PROVIDER_CLASS,RUCA_CLASS,NUM_PROCEDURES,UNIQUE_PATIENTS,PROC_PER_PROV_MED,PROC_PER_PROV_MEAN,PROC_PER_PROV_SD,CHARGE_AMT_MED,CHARGE_AMT_MEAN,CHARGE_AMT_SD,CHARGE_AMT_SUM,INSURER_PAID_AMT_MED,INSURER_PAID_AMT_MEAN,INSURER_PAID_AMT_SD,INSURER_PAID_AMT_SUM,MEMBER_PAID_AMT_MED,MEMBER_PAID_AMT_MEAN,MEMBER_PAID_AMT_SD,MEMBER_PAID_AMT_SUM,TOTAL_PAID_AMT_MED,TOTAL_PAID_AMT_MEAN,TOTAL_PAID_AMT_SD,TOTAL_PAID_AMT_SUM
2019,13,14-01,GENERAL PRACTICE,1,Commercial,5,5,1,178,34,4.00,13.69,22.04,$47.50,$140.48,$252.98,"$25,004.62",$18.57,$75.58,$159.22,"$13,453.53",$0.00,$11.32,$33.64,"$2,014.29",$25.00,$86.90,$163.58,"$15,467.82"
2019,12,14-01,GENERAL PRACTICE,1,Medicare,3,1,1,"5,698",819,251.50,474.83,575.15,$120.00,$209.89,$744.75,"$1,195,948.91",$21.71,$60.78,$399.33,"$346,324.81",$0.00,$10.12,$60.42,"$57,678.01",$33.03,$70.90,$434.98,"$404,002.82"
2019,54,14-01,GENERAL PRACTICE,1,Medicare,3,5,1,"1,163",209,3.00,21.54,79.53,$105.84,$177.65,$326.63,"$206,602.95",$16.48,$49.96,$106.60,"$58,101.47",$0.00,$14.67,$34.46,"$17,061.31",$20.10,$64.63,$124.42,"$75,162.78"
2019,26,14-01,GENERAL PRACTICE,1,Medicare,3,5,2,248,37,3.00,9.54,14.94,$50.00,$132.68,$179.33,"$32,904.09",$2.94,$26.45,$44.44,"$6,560.11",$0.00,$8.52,$21.93,"$2,112.52",$2.94,$34.97,$54.01,"$8,672.63"
2019,17,14-01,GENERAL PRACTICE,1,Medicare,3,5,3,192,40,2.00,11.29,28.45,$189.11,$279.25,$343.54,"$53,615.41",$64.05,$72.28,$91.49,"$13,878.37",$12.70,$25.29,$37.68,"$4,854.97",$72.99,$97.57,$112.29,"$18,733.34"
2019,32,14-01,GENERAL PRACTICE,1,Medicare,3,5,4,470,64,5.00,14.69,29.36,$166.64,$198.95,$348.28,"$93,507.91",$19.52,$43.33,$74.64,"$20,363.77",$6.07,$16.63,$28.61,"$7,815.65",$38.35,$59.96,$92.30,"$28,179.42"
2019,14,14-01,GENERAL PRACTICE,1,Medicare,4,1,1,"5,159",874,332.00,368.50,395.15,$120.00,$207.07,$647.79,"$1,068,269.81",$33.84,$57.95,$296.84,"$298,954.31",$0.00,$10.49,$74.61,"$54,119.82",$46.78,$68.44,$367.76,"$353,074.13"
2019,11,14-01,GENERAL PRACTICE,1,Medicare,4,1,2,497,101,33.00,45.18,45.79,$130.00,$294.12,"$1,258.95","$146,175.29",$27.12,$77.54,$411.79,"$38,536.86",$0.00,$16.49,$105.97,"$8,195.32",$38.04,$94.03,$516.52,"$46,732.18"
2019,67,14-01,GENERAL PRACTICE,1,Medicare,4,5,1,"1,069",214,3.00,15.96,46.07,$166.64,$227.88,$460.53,"$243,605.20",$28.58,$65.55,$143.66,"$70,072.06",$2.84,$16.72,$35.17,"$17,876.25",$50.00,$82.27,$168.59,"$87,948.31"
2019,17,14-01,GENERAL PRACTICE,1,Medicare,4,5,2,168,42,4.00,9.88,16.49,$166.64,$250.53,$461.01,"$42,089.13",$25.63,$67.94,$140.37,"$11,413.30",$2.77,$16.56,$37.66,"$2,782.47",$37.70,$84.50,$174.27,"$14,195.77"
2019,24,14-01,GENERAL PRACTICE,1,Medicare,4,5,3,355,64,3.50,14.79,44.77,$166.64,$197.44,$166.73,"$70,092.58",$48.18,$53.69,$53.38,"$19,058.81",$6.54,$13.59,$20.12,"$4,824.66",$64.05,$67.28,$61.24,"$23,883.47"
2019,32,14-01,GENERAL PRACTICE,1,Medicare,4,5,4,382,69,3.00,11.94,26.89,$145.00,$155.07,$197.15,"$59,237.49",$32.03,$42.16,$55.70,"$16,106.90",$6.54,$14.37,$29.65,"$5,488.70",$38.76,$56.53,$75.63,"$21,595.60"
2019,14,14-01,GENERAL PRACTICE,1,Medicare,5,1,1,"6,666","1,085",229.50,476.14,599.13,$120.00,$213.80,$593.82,"$1,425,179.90",$31.68,$58.12,$276.07,"$387,442.62",$0.00,$9.93,$57.07,"$66,172.13",$43.12,$68.05,$321.85,"$453,614.75"
2019,12,14-01,GENERAL PRACTICE,1,Medicare,5,1,2,376,112,24.50,31.33,28.74,$199.00,$296.21,"$1,280.29","$111,373.51",$58.11,$89.87,$462.73,"$33,792.75",$0.00,$15.55,$61.93,"$5,846.85",$71.41,$105.42,$496.16,"$39,639.60"
2019,71,14-01,GENERAL PRACTICE,1,Medicare,5,5,1,"1,128",204,4.00,15.89,48.85,$71.00,$138.69,$210.21,"$156,439.12",$14.31,$39.13,$59.14,"$44,138.27",$0.00,$10.66,$21.80,"$12,027.30",$17.56,$49.79,$72.45,"$56,165.57"
2019,20,14-01,GENERAL PRACTICE,1,Medicare,5,5,2,121,36,2.00,6.05,8.62,$108.00,$143.50,$131.52,"$17,362.93",$16.26,$39.91,$45.46,"$4,828.71",$4.15,$13.82,$25.45,"$1,672.40",$32.04,$53.73,$57.02,"$6,501.11"
2019,18,14-01,GENERAL PRACTICE,1,Medicare,5,5,3,228,36,2.00,12.67,33.60,$166.64,$231.01,$237.59,"$52,669.71",$48.17,$61.42,$69.20,"$14,003.51",$6.54,$17.51,$28.39,"$3,992.00",$60.37,$78.93,$88.96,"$17,995.51"
2019,35,14-01,GENERAL PRACTICE,1,Medicare,5,5,4,356,70,3.00,10.17,27.94,$166.64,$187.65,$153.74,"$66,803.74",$48.27,$53.10,$49.36,"$18,905.09",$10.21,$14.74,$19.95,"$5,248.69",$64.32,$67.85,$60.65,"$24,153.78"
2019,13,14-01,GENERAL PRACTICE,1,Minnesota Health Care Programs,3,1,1,"4,859",818,388.00,373.77,323.94,$95.00,$153.77,$282.13,"$747,175.48",$20.40,$41.21,$109.44,"$200,263.36",$0.00,$0.85,$3.73,"$4,134.80",$20.40,$42.07,$109.67,"$204,398.16"
2019,13,14-01,GENERAL PRACTICE,1,Minnesota Health Care Programs,3,1,2,430,108,23.00,33.08,36.94,$120.00,$173.30,$272.78,"$74,516.88",$16.59,$35.86,$115.07,"$15,421.54",$0.00,$0.74,$3.26,$319.60,$16.81,$36.61,$115.32,"$15,741.14"
2019,12,14-01,GENERAL PRACTICE,1,Minnesota Health Care Programs,4,1,1,"2,662",530,204.00,221.83,188.17,$120.00,$182.10,$400.69,"$484,747.12",$14.90,$43.48,$165.88,"$115,749.29",$0.00,$0.62,$3.09,"$1,643.76",$14.98,$44.10,$165.99,"$117,393.05"
2019,15,14-01,GENERAL PRACTICE,1,Minnesota Health Care Programs,5,1,1,"2,095",409,56.00,139.67,199.32,$134.00,$242.86,"$1,184.75","$508,791.29",$12.83,$40.88,$199.50,"$85,652.60",$0.00,$0.64,$2.76,"$1,348.68",$12.83,$41.53,$199.62,"$87,001.28"
2019,21,14-01,GENERAL PRACTICE,2,Medicare,5,5,1,205,74,4.00,9.76,15.60,$139.00,$329.07,$627.08,"$67,460.33",$53.51,$80.66,$173.67,"$16,535.66",$9.12,$17.19,$37.40,"$3,523.57",$59.08,$97.85,$202.71,"$20,059.23"
2019,14,14-01,GENERAL PRACTICE,2,Medicare,5,5,2,59,24,3.50,4.21,3.56,$250.00,$687.15,"$1,322.90","$40,541.86",$60.03,$106.41,$191.06,"$6,278.06",$14.34,$20.86,$47.12,"$1,231.03",$75.06,$127.27,$235.31,"$7,509.09"
2019,13,14-01,GENERAL PRACTICE,2,Medicare,5,5,3,117,47,4.00,9.00,12.60,$212.00,$388.68,$781.13,"$45,475.55",$62.12,$111.88,$244.31,"$13,090.39",$14.34,$20.92,$43.66,"$2,447.11",$77.68,$132.80,$272.51,"$15,537.50"
2019,16,14-01,GENERAL PRACTICE,2,Medicare,5,5,4,309,121,3.50,19.31,34.43,$212.00,$454.98,$882.24,"$140,587.77",$62.12,$119.23,$234.44,"$36,842.70",$14.34,$23.07,$49.92,"$7,129.34",$74.06,$142.30,$273.02,"$43,972.04"
2019,13,14-01,GENERAL PRACTICE,3,Medicare,5,5,1,23,12,1.00,1.77,1.01,$300.00,$636.66,$735.09,"$14,643.07",$70.10,$75.34,$57.73,"$1,732.73",$8.28,$16.34,$15.30,$375.87,$87.95,$91.68,$71.04,"$2,108.60"
2019,19,14-01,GENERAL PRACTICE,5,Medicare,5,5,1,99,24,2.00,5.21,7.51,$128.00,$150.63,$107.97,"$14,912.60",$52.49,$57.90,$54.32,"$5,731.82",$13.31,$14.02,$14.21,"$1,387.49",$65.88,$71.91,$68.00,"$7,119.31"
2019,36,14-02,GENERAL SURGERY,1,Commercial,1,1,1,643,93,7.00,17.86,47.49,$216.00,$216.65,$124.86,"$139,307.25",$5.70,$51.03,$74.28,"$32,814.09",$68.85,$132.00,$138.54,"$84,873.25",$199.68,$183.03,$130.44,"$117,687.34"
2019,20,14-02,GENERAL SURGERY,1,Commercial,1,3,3,214,32,7.00,10.70,10.64,$266.00,$486.08,$570.84,"$104,021.51",$46.71,$177.00,$344.69,"$37,878.35",$25.00,$240.23,$416.70,"$51,409.57",$219.19,$417.23,$518.01,"$89,287.92"
2019,23,14-02,GENERAL SURGERY,1,Commercial,1,4,4,339,38,8.00,14.74,17.75,$198.00,$513.16,$591.08,"$173,960.33",$0.00,$100.05,$240.10,"$33,915.86",$127.71,$298.74,$419.44,"$101,274.10",$153.00,$398.79,$574.16,"$135,189.96"
2019,13,14-02,GENERAL SURGERY,1,Commercial,1,5,1,155,21,10.00,11.92,11.00,$269.00,$422.71,$374.78,"$65,519.52",$12.90,$58.93,$107.46,"$9,133.98",$186.68,$263.47,$293.07,"$40,837.32",$219.14,$322.40,$282.73,"$49,971.30"
2019,11,14-02,GENERAL SURGERY,1,Commercial,1,5,4,78,11,4.00,7.09,7.79,$192.00,$162.77,$70.36,"$12,696.00",$94.36,$94.65,$75.49,"$7,382.65",$0.00,$18.72,$41.25,"$1,460.37",$154.48,$113.37,$68.36,"$8,843.02"
2019,133,14-02,GENERAL SURGERY,1,Commercial,2,1,1,"3,809",834,14.00,28.64,75.58,$287.00,$402.04,$581.65,"$1,531,389.04",$13.84,$134.59,$268.37,"$512,667.39",$60.00,$158.28,$238.14,"$602,876.51",$201.93,$292.87,$344.72,"$1,115,543.90"
2019,65,14-02,GENERAL SURGERY,1,Commercial,2,1,2,406,113,2.00,6.25,8.22,$294.00,$378.05,$542.65,"$153,488.51",$61.26,$142.42,$256.97,"$57,822.24",$45.00,$132.75,$164.25,"$53,897.96",$239.23,$275.17,$263.22,"$111,720.20"
2019,29,14-02,GENERAL SURGERY,1,Commercial,2,1,3,136,36,2.00,4.69,7.64,$190.80,$239.10,$351.50,"$32,518.25",$0.00,$58.91,$92.09,"$8,011.26",$40.00,$124.39,$314.80,"$16,917.66",$153.35,$183.30,$309.06,"$24,928.92"
2019,29,14-02,GENERAL SURGERY,1,Commercial,2,1,4,144,51,3.00,4.97,4.84,$284.00,$284.29,$193.55,"$40,938.45",$6.50,$81.75,$120.35,"$11,772.16",$109.21,$151.65,$156.01,"$21,837.08",$215.30,$233.40,$164.65,"$33,609.24"
2019,12,14-02,GENERAL SURGERY,1,Commercial,2,2,1,135,31,8.00,11.25,10.50,$295.00,$312.97,$165.54,"$42,251.00",$3.48,$96.51,$121.32,"$13,028.22",$40.00,$128.00,$166.53,"$17,280.44",$253.62,$224.51,$157.31,"$30,308.66"
2019,14,14-02,GENERAL SURGERY,1,Commercial,2,2,2,266,74,12.50,19.00,16.18,$295.00,$392.54,$257.87,"$104,415.29",$29.82,$122.23,$170.15,"$32,513.15",$40.00,$181.76,$259.52,"$48,347.10",$256.65,$303.99,$249.64,"$80,860.25"
2019,19,14-02,GENERAL SURGERY,1,Commercial,2,3,1,99,30,3.00,5.21,5.30,$270.00,$391.03,$338.70,"$38,711.85",$9.65,$141.73,$221.73,"$14,030.96",$35.00,$174.62,$262.29,"$17,287.57",$221.24,$316.35,$273.46,"$31,318.53"
2019,14,14-02,GENERAL SURGERY,1,Commercial,2,3,2,49,17,1.50,3.50,4.86,$224.00,$291.02,$232.76,"$14,260.01",$149.18,$195.41,$214.63,"$9,575.27",$25.00,$39.20,$61.70,"$1,920.77",$191.58,$234.61,$210.06,"$11,496.04"
2019,42,14-02,GENERAL SURGERY,1,Commercial,2,3,3,615,158,9.00,14.64,15.83,$192.00,$342.94,$430.63,"$210,910.79",$0.00,$93.23,$219.65,"$57,337.94",$60.27,$148.03,$270.67,"$91,036.42",$160.48,$241.26,$339.85,"$148,374.36"
2019,28,14-02,GENERAL SURGERY,1,Commercial,2,3,4,242,61,5.00,8.64,8.59,$186.00,$300.92,$364.15,"$72,822.05",$33.12,$85.60,$131.02,"$20,715.33",$67.52,$165.74,$459.61,"$40,108.92",$159.36,$251.34,$463.13,"$60,824.25"
2019,11,14-02,GENERAL SURGERY,1,Commercial,2,4,1,83,15,5.00,7.55,7.16,$272.00,$357.84,$271.24,"$29,700.52",$0.00,$111.49,$214.45,"$9,254.01",$103.61,$134.92,$117.27,"$11,198.58",$186.03,$246.42,$189.09,"$20,452.59"
2019,35,14-02,GENERAL SURGERY,1,Commercial,2,4,4,752,149,15.00,21.49,26.07,$217.80,$274.68,$205.31,"$206,558.76",$0.00,$60.98,$120.48,"$45,859.75",$87.12,$122.17,$151.32,"$91,869.49",$149.45,$183.15,$160.21,"$137,729.24"
2019,35,14-02,GENERAL SURGERY,1,Commercial,2,5,1,564,119,3.00,16.11,26.64,$294.00,$315.78,$211.40,"$178,097.75",$4.36,$61.84,$118.19,"$34,880.05",$100.63,$140.48,$130.39,"$79,230.73",$218.77,$202.32,$133.31,"$114,110.78"
2019,12,14-02,GENERAL SURGERY,1,Commercial,2,5,2,29,13,1.50,2.42,2.11,$210.00,$518.52,$534.14,"$15,037.00",$58.40,$231.09,$341.35,"$6,701.55",$55.54,$89.12,$128.82,"$2,584.58",$157.20,$320.21,$320.36,"$9,286.13"
2019,21,14-02,GENERAL SURGERY,1,Commercial,2,5,3,245,44,2.00,11.67,18.39,$200.00,$317.88,$454.81,"$77,879.58",$0.00,$61.33,$167.80,"$15,026.15",$163.03,$178.26,$345.28,"$43,673.25",$196.32,$239.59,$373.19,"$58,699.40"
2019,34,14-02,GENERAL SURGERY,1,Commercial,2,5,4,232,57,3.00,6.82,8.13,$276.00,$290.74,$207.86,"$67,450.95",$2.17,$61.28,$92.05,"$14,217.37",$40.00,$147.45,$201.15,"$34,208.76",$148.14,$208.73,$182.45,"$48,426.13"
2019,206,14-02,GENERAL SURGERY,1,Commercial,3,1,1,"12,339","5,993",28.00,59.90,112.53,$297.00,$392.49,$598.30,"$4,842,948.60",$122.60,$182.28,$342.73,"$2,249,170.68",$30.00,$108.14,$196.66,"$1,334,287.45",$236.01,$290.42,$371.44,"$3,583,458.13"
2019,160,14-02,GENERAL SURGERY,1,Commercial,3,1,2,"1,969",977,5.00,12.31,17.08,$297.75,$395.33,$655.46,"$778,403.19",$83.90,$180.53,$365.50,"$355,454.93",$30.00,$114.76,$185.85,"$225,955.31",$245.64,$295.28,$381.96,"$581,410.24"
2019,110,14-02,GENERAL SURGERY,1,Commercial,3,1,3,601,271,2.00,5.46,8.04,$286.00,$719.46,"$2,267.69","$432,393.80",$104.94,$497.31,"$2,121.06","$298,880.99",$27.04,$97.58,$157.44,"$58,645.24",$224.09,$594.89,"$2,107.73","$357,526.23"
2019,124,14-02,GENERAL SURGERY,1,Commercial,3,1,4,852,414,3.00,6.87,10.32,$293.75,$321.63,$402.91,"$274,026.40",$30.93,$136.81,$263.84,"$116,562.82",$30.00,$111.63,$241.32,"$95,104.75",$222.95,$248.44,$356.79,"$211,667.57"
2019,14,14-02,GENERAL SURGERY,1,Commercial,3,2,1,473,218,25.00,33.79,29.57,$295.00,$312.67,$357.82,"$147,892.00",$11.79,$115.58,$178.41,"$54,670.35",$30.00,$118.91,$164.86,"$56,245.94",$202.90,$234.50,$224.32,"$110,916.29"
2019,13,14-02,GENERAL SURGERY,1,Commercial,3,2,2,786,413,51.00,60.46,27.75,$295.00,$327.05,$230.07,"$257,061.00",$51.51,$139.29,$175.02,"$109,480.01",$35.00,$113.49,$153.02,"$89,200.76",$253.62,$252.77,$177.69,"$198,680.77"
2019,13,14-02,GENERAL SURGERY,1,Commercial,3,2,4,143,68,12.00,11.00,8.52,$294.00,$315.55,$218.41,"$45,123.00",$95.04,$147.19,$174.51,"$21,048.14",$36.61,$104.65,$139.18,"$14,965.55",$256.18,$251.84,$192.87,"$36,013.69"
2019,33,14-02,GENERAL SURGERY,1,Commercial,3,3,1,221,96,2.00,6.70,10.37,$258.45,$273.78,$263.78,"$60,504.43",$8.95,$99.48,$148.10,"$21,985.38",$18.60,$78.47,$135.20,"$17,341.60",$143.01,$177.95,$173.72,"$39,326.98"
2019,25,14-02,GENERAL SURGERY,1,Commercial,3,3,2,217,80,4.00,8.68,13.21,$271.00,$333.00,$457.50,"$72,261.69",$15.95,$165.77,$411.76,"$35,971.62",$30.00,$102.35,$141.28,"$22,210.15",$195.70,$268.12,$406.89,"$58,181.77"
2019,48,14-02,GENERAL SURGERY,1,Commercial,3,3,3,"1,899",816,28.50,39.56,36.14,$225.60,$307.46,$372.97,"$583,859.43",$21.00,$110.11,$216.41,"$209,097.34",$40.00,$116.29,$214.13,"$220,828.48",$172.39,$226.40,$299.88,"$429,925.82"
2019,49,14-02,GENERAL SURGERY,1,Commercial,3,3,4,856,391,12.00,17.47,18.45,$221.50,$314.35,$401.41,"$269,083.44",$38.91,$122.43,$252.26,"$104,804.10",$40.00,$102.04,$197.78,"$87,346.86",$165.92,$224.48,$305.14,"$192,150.96"
2019,21,14-02,GENERAL SURGERY,1,Commercial,3,4,1,139,57,3.00,6.62,8.95,$227.16,$293.20,$321.80,"$40,754.77",$2.87,$58.90,$131.18,"$8,187.17",$76.42,$136.98,$172.02,"$19,040.85",$176.99,$195.89,$227.94,"$27,228.02"
2019,24,14-02,GENERAL SURGERY,1,Commercial,3,4,2,183,77,4.00,7.63,8.76,$269.00,$317.29,$272.13,"$58,064.38",$21.22,$81.98,$120.11,"$15,001.76",$38.63,$122.93,$156.28,"$22,495.93",$184.00,$204.91,$145.34,"$37,497.69"
2019,26,14-02,GENERAL SURGERY,1,Commercial,3,4,3,417,140,11.00,16.04,14.83,$233.33,$286.03,$217.29,"$119,274.83",$13.68,$79.42,$148.74,"$33,116.09",$30.00,$96.64,$123.25,"$40,299.76",$153.32,$176.06,$155.58,"$73,415.85"
2019,39,14-02,GENERAL SURGERY,1,Commercial,3,4,4,"2,114",784,43.00,54.21,44.03,$202.00,$289.10,$295.81,"$611,167.75",$4.58,$77.11,$144.19,"$163,019.39",$39.62,$95.83,$147.50,"$202,580.39",$129.70,$172.94,$179.41,"$365,599.78"
2019,89,14-02,GENERAL SURGERY,1,Commercial,3,5,1,"2,150",885,1.00,24.16,90.71,$294.00,$349.80,$341.96,"$752,078.71",$71.33,$147.21,$222.45,"$316,496.15",$30.00,$98.30,$169.14,"$211,335.03",$201.26,$245.50,$255.04,"$527,831.18"
2019,48,14-02,GENERAL SURGERY,1,Commercial,3,5,2,261,136,3.00,5.44,6.66,$275.00,$390.73,$499.16,"$101,980.07",$93.78,$156.38,$246.96,"$40,814.83",$40.00,$109.95,$174.05,"$28,695.79",$202.35,$266.32,$257.42,"$69,510.62"
2019,68,14-02,GENERAL SURGERY,1,Commercial,3,5,3,566,233,3.00,8.32,23.11,$184.00,$263.07,$630.01,"$148,895.42",$0.79,$88.84,$283.60,"$50,285.55",$30.90,$86.17,$135.17,"$48,774.06",$121.60,$175.02,$307.39,"$99,059.61"
2019,87,14-02,GENERAL SURGERY,1,Commercial,3,5,4,"1,093",419,4.00,12.56,18.85,$231.80,$282.80,$227.52,"$309,099.59",$3.05,$91.10,$148.47,"$99,577.33",$48.76,$111.73,$137.26,"$122,124.03",$178.43,$202.84,$167.01,"$221,701.36"
2019,192,14-02,GENERAL SURGERY,1,Commercial,4,1,1,"5,164","2,854",13.00,26.90,42.80,$297.75,$412.56,$696.21,"$2,130,477.39",$167.87,$230.79,$410.99,"$1,191,788.68",$0.00,$52.29,$136.23,"$270,027.58",$206.00,$283.08,$419.32,"$1,461,816.26"
2019,133,14-02,GENERAL SURGERY,1,Commercial,4,1,2,688,457,4.00,5.17,4.91,$297.75,$335.31,$314.67,"$230,695.64",$183.41,$207.18,$263.22,"$142,539.38",$5.83,$62.95,$113.35,"$43,311.59",$257.35,$270.13,$255.65,"$185,850.97"
2019,81,14-02,GENERAL SURGERY,1,Commercial,4,1,3,280,154,1.00,3.46,5.39,$216.00,$260.13,$285.46,"$72,837.26",$127.11,$160.83,$252.07,"$45,033.06",$0.00,$39.68,$100.45,"$11,109.94",$189.11,$200.51,$253.45,"$56,143.00"
2019,82,14-02,GENERAL SURGERY,1,Commercial,4,1,4,296,192,2.00,3.61,4.17,$250.00,$300.53,$367.78,"$88,955.68",$109.57,$152.83,$176.32,"$45,237.69",$0.00,$88.17,$283.52,"$26,097.18",$195.30,$241.00,$331.75,"$71,334.87"
2019,12,14-02,GENERAL SURGERY,1,Commercial,4,2,1,131,71,9.50,10.92,7.51,$295.00,$351.95,$320.80,"$46,106.00",$136.64,$180.81,$250.03,"$23,686.20",$12.62,$83.34,$128.42,"$10,918.01",$253.62,$264.15,$245.99,"$34,604.21"
2019,14,14-02,GENERAL SURGERY,1,Commercial,4,2,2,264,147,14.00,18.86,14.20,$294.50,$364.67,$422.33,"$96,274.00",$147.02,$196.96,$303.95,"$51,997.49",$0.00,$64.29,$141.13,"$16,971.97",$226.84,$261.25,$314.59,"$68,969.46"
2019,12,14-02,GENERAL SURGERY,1,Commercial,4,2,4,41,26,2.00,3.42,2.84,$297.00,$346.80,$306.31,"$14,219.00",$222.75,$250.14,$280.32,"$10,255.59",$0.00,$31.15,$68.78,"$1,277.06",$256.65,$281.28,$272.94,"$11,532.65"
